genes	geneUniProtID	compartments
ENSG00000185052	Q9HC58	
ENSG00000185100	Q8N142	Cytosol
ENSG00000185133	Q15735	Cytosol
ENSG00000185238	O60678	Cytosol
ENSG00000185250	Q8IXY8	
ENSG00000185274	Q6IS24	
ENSG00000185344	Q9Y487	
ENSG00000185345	O60260	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000185352	Q8IZP7	
ENSG00000185420	Q9H7B4	Cytosol;Nucleus
ENSG00000185432	Q9H8H3	Endoplasmic reticulum
ENSG00000185527	P18545	
ENSG00000185615	Q13087	Endoplasmic reticulum
ENSG00000185624	P07237	Endoplasmic reticulum
ENSG00000185651	P68036	Cytosol;Nucleus
ENSG00000185803	Q9HAB3	
ENSG00000185808	P57054	
ENSG00000185813	Q99447	
ENSG00000185818	Q8N9F0	Cytosol;Endoplasmic reticulum
ENSG00000185825	P51572	Endoplasmic reticulum
ENSG00000185875	Q8IYQ7	
ENSG00000185883	P27449	Cytosol
ENSG00000185973	Q9NVH6	
ENSG00000185974	Q15835	
ENSG00000186009	P51164	
ENSG00000186010	Q9P0J0	Nucleus
ENSG00000186104	Q6VVX0	Endoplasmic reticulum
ENSG00000186111	O60331	Cytosol;Nucleus
ENSG00000186115	P78329	Endoplasmic reticulum
ENSG00000186141	Q9BUI4	Nucleus
ENSG00000186153	Q9NZC7	Cytosol;Golgi apparatus;Nucleus
ENSG00000186160	Q86W10	Endoplasmic reticulum
ENSG00000186184	P0DPB6;P0DPB5	
ENSG00000186187	Q8ND25	Cytosol;Lysosome
ENSG00000186198	Q86UW2	
ENSG00000186204	Q9HCS2	Endoplasmic reticulum
ENSG00000186281	Q6NUI2	
ENSG00000186298	P36873	Cytosol;Nucleus
ENSG00000186334	Q495N2	
ENSG00000186335	Q495M3	Endoplasmic reticulum
ENSG00000186350	P19793	Cytosol;Nucleus
ENSG00000186377	Q8N118	
ENSG00000186526	P98187	Endoplasmic reticulum
ENSG00000186529	Q08477	Endoplasmic reticulum
ENSG00000186591	P62256	
ENSG00000186642	O00408	Cytosol
ENSG00000186666	Q7Z5W3	Cytosol
ENSG00000186792	O43820	Cytosol;Lysosome;Endoplasmic reticulum
ENSG00000186908	Q8IUH5	Cytosol;Golgi apparatus
ENSG00000186951	Q07869	Nucleus
ENSG00000187021	P54315	
ENSG00000187024	Q86Y79	
ENSG00000187048	Q02928	Endoplasmic reticulum
ENSG00000187091	P51178	
ENSG00000187097	O75356	Endoplasmic reticulum
ENSG00000187134	Q04828	Cytosol
ENSG00000187210	Q02742	Golgi apparatus
ENSG00000187486	Q14654	
ENSG00000187531	Q9NRC8	Cytosol;Nucleus
ENSG00000187555	Q93009	Cytosol;Nucleus
ENSG00000187566	Q6VVB1	Endoplasmic reticulum;Nucleus
ENSG00000187581	Q7Z4L0	
ENSG00000187630	Q6PKH6	
ENSG00000187676	Q6Y288	Endoplasmic reticulum
ENSG00000187714	Q16572	
ENSG00000187733	P04746;P0DUB6;P0DTE8	
ENSG00000187758	P07327	Cytosol
ENSG00000187980	Q5R387	
ENSG00000188050	Q8WVZ7	
ENSG00000188089	Q3MJ16	Cytosol;Lysosome
ENSG00000188167	Q6ZT21	
ENSG00000188257	P14555	
ENSG00000188266	A2RU49	Cytosol
ENSG00000188338	Q99624	
ENSG00000188467	Q71RS6	Golgi apparatus
ENSG00000188573	A6NHQ2	
ENSG00000188611	Q9NR71	Golgi apparatus
ENSG00000188641	Q12882	Cytosol
ENSG00000188676	Q6ZQW0	
ENSG00000188687	Q9BY07	
ENSG00000188690	P10746	
ENSG00000188706	Q9Y397	Endoplasmic reticulum;Golgi apparatus
ENSG00000188784	Q9NZK7	Cytosol
ENSG00000188818	Q9H8X9	Endoplasmic reticulum
ENSG00000188833	Q5MY95	
ENSG00000188921	Q5VWC8	Endoplasmic reticulum
ENSG00000189043	O00483	
ENSG00000189221	P21397	Cytosol
ENSG00000189283	P49789	Cytosol;Nucleus
ENSG00000189366		
ENSG00000196136	P01011	
ENSG00000196139	P42330	Cytosol
ENSG00000196177	P45954	
ENSG00000196188	P14091	Endoplasmic reticulum;Golgi apparatus
ENSG00000196262	P62937	Cytosol;Nucleus
ENSG00000196296	O14983	Endoplasmic reticulum
ENSG00000196305	P41252	Cytosol
ENSG00000196313	Q96HA1	Endoplasmic reticulum;Nucleus
ENSG00000196344	P40394	Cytosol
ENSG00000196368	Q96G61	Cytosol
ENSG00000196371	P22083	Golgi apparatus
ENSG00000196433	P46597	
ENSG00000196470	Q8IUQ4	Cytosol;Nucleus
ENSG00000196475	Q14410	Cytosol
ENSG00000196498	Q9Y618	Nucleus
ENSG00000196502	P50225	Cytosol
ENSG00000196511	Q9H3S4	
ENSG00000196517	P48067	
ENSG00000196547	P49641	
ENSG00000196616	P00325	Cytosol
ENSG00000196620	P54855	Endoplasmic reticulum
ENSG00000196743	P17900	Lysosome
ENSG00000196839	P00813	Cytosol;Lysosome
ENSG00000196950	Q9ULF5	
ENSG00000196968	Q495W5	Golgi apparatus
ENSG00000197093	Q96RP7	Golgi apparatus
ENSG00000197119	Q8N8R3	
ENSG00000197121	Q75T13	Endoplasmic reticulum
ENSG00000197142	Q9ULC5	Endoplasmic reticulum
ENSG00000197165	P50226	Cytosol
ENSG00000197208	Q9H015	
ENSG00000197217	Q9Y227	Cytosol;Lysosome;Golgi apparatus
ENSG00000197241	Q6PXP3	
ENSG00000197249	P01009	Endoplasmic reticulum
ENSG00000197253	P20231	
ENSG00000197296	Q8N6M3	Endoplasmic reticulum
ENSG00000197323	Q9UPN9	Nucleus
ENSG00000197355	Q3KQV9	
ENSG00000197375	O76082	
ENSG00000197406	P55073	
ENSG00000197408	P20813	Endoplasmic reticulum
ENSG00000197416	A6NFH5	
ENSG00000197417	Q9UHJ6	Cytosol
ENSG00000197444	Q9ULD0	
ENSG00000197446	P24903	Endoplasmic reticulum
ENSG00000197448	Q9Y2Q3	Peroxisome
ENSG00000197496	O95528	Cytosol
ENSG00000197506	Q9HAS3	Endoplasmic reticulum
ENSG00000197530	Q96AX9	Cytosol
ENSG00000197563	O95427	Endoplasmic reticulum
ENSG00000197579	Q9NS56	Nucleus
ENSG00000197580	Q9BYV7	
ENSG00000197586	O75354	Golgi apparatus
ENSG00000197594	P22413	Cytosol
ENSG00000197601	Q8WVX9	Peroxisome
ENSG00000197713	Q96AT9	
ENSG00000197746	P07602	Lysosome
ENSG00000197763	Q86VQ6	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000197818	Q9Y2E8	
ENSG00000197838	Q16696	Endoplasmic reticulum
ENSG00000197858	O43292	Endoplasmic reticulum
ENSG00000197888	O75795	Endoplasmic reticulum
ENSG00000197891	Q96S37	
ENSG00000197894	P11766	Cytosol
ENSG00000197901	Q4U2R8	
ENSG00000197943	P16885	
ENSG00000197959	Q9UQ16	Cytosol
ENSG00000197977	Q9NXB9	Endoplasmic reticulum
ENSG00000198060	Q9NX47	Endoplasmic reticulum
ENSG00000198074	O60218	Lysosome
ENSG00000198075	O75897	Cytosol
ENSG00000198077	P20853	
ENSG00000198088	Q9H1M0	
ENSG00000198099	P08319	Cytosol
ENSG00000198108	Q70JA7	
ENSG00000198130	Q6NVY1	
ENSG00000198162	O60476	Golgi apparatus
ENSG00000198189	Q8NBQ5	Endoplasmic reticulum
ENSG00000198203	O00338	Cytosol;Lysosome
ENSG00000198246	Q9BZD2	Lysosome
ENSG00000198276	Q9NWZ5	Cytosol;Nucleus
ENSG00000198363	Q12797	Endoplasmic reticulum
ENSG00000198373	O00308	Nucleus
ENSG00000198380	Q06210	
ENSG00000198408	O60502	Cytosol;Nucleus
ENSG00000198431	Q16881	Cytosol;Nucleus
ENSG00000198488	Q6ZMB0	Golgi apparatus
ENSG00000198569	Q8N130	
ENSG00000198610	P17516	Cytosol
ENSG00000198646	Q14686	Nucleus
ENSG00000198650	P17735	
ENSG00000198668	P0DP23	Cytosol
ENSG00000198682	O95340	
ENSG00000198691	P78363	Cytosol;Endoplasmic reticulum
ENSG00000198695	P03923	
ENSG00000198704	P59796	
ENSG00000198712	P00403	
ENSG00000198721	O75521	Peroxisome
ENSG00000198727	P00156	
ENSG00000198742	Q9HCE7	Cytosol
ENSG00000198743	P53794	
ENSG00000198753	Q9ULL4	
ENSG00000198754	Q9BYC2	
ENSG00000198756	Q8IYK4	Endoplasmic reticulum
ENSG00000198763	P03891	
ENSG00000198786	P03915	
ENSG00000198804	P00395	
ENSG00000198805	P00491	Cytosol
ENSG00000198814	P32189	Cytosol
ENSG00000198825	Q9Y2H2	
ENSG00000198833	Q9Y385	Endoplasmic reticulum
ENSG00000198840	P03897	
ENSG00000198848	P23141	Cytosol;Endoplasmic reticulum
ENSG00000198881	Q8WXK4	
ENSG00000198886	P03905	
ENSG00000198888	P03886	
ENSG00000198890	Q96LA8	Nucleus
ENSG00000198899	P00846	
ENSG00000198910	P32004	
ENSG00000198919	Q86Y13	Cytosol
ENSG00000198931	P07741	Cytosol
ENSG00000198938	P00414	
ENSG00000198951	P17050	Lysosome
ENSG00000198959	P21980	Cytosol;Nucleus
ENSG00000198961	O43164	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000198964	Q86VZ5	Golgi apparatus
ENSG00000203791	Q5JPI9	Cytosol;Nucleus
ENSG00000203797	Q99489	Peroxisome
ENSG00000203805	Q5VZY2	
ENSG00000203837	Q17RR3	
ENSG00000203857	P14060	Endoplasmic reticulum
ENSG00000203859	P26439	Endoplasmic reticulum
ENSG00000203972	Q5SZD4	
ENSG00000204007	Q7Z4J2	
ENSG00000204084	P32019	Cytosol;Endoplasmic reticulum;Golgi apparatus
ENSG00000204099	Q8WWR8	Lysosome;Endoplasmic reticulum
ENSG00000204160	Q9NUE0	Golgi apparatus
ENSG00000204195	Q58HT5	Endoplasmic reticulum
ENSG00000204227	Q06587	Nucleus
ENSG00000204228	Q92506	
ENSG00000204308	Q99942	Cytosol;Endoplasmic reticulum
ENSG00000204310	Q99943	Endoplasmic reticulum
ENSG00000204370	O14521	
ENSG00000204371	Q96KQ7	Nucleus
ENSG00000204385	Q53GD3	
ENSG00000204386	Q99519	Cytosol;Lysosome
ENSG00000204394	P26640	
ENSG00000205060	Q969S0	Golgi apparatus
ENSG00000205186	Q0Z7S8	
ENSG00000205268	Q13946	Cytosol
ENSG00000205301	A6NG13	
ENSG00000205309	Q9NPB1	
ENSG00000205560	Q92523	
ENSG00000205629	Q9UIC8	
ENSG00000205669	Q3I5F7	
ENSG00000205678	Q5HYJ1	
ENSG00000205808	Q8IY26	Endoplasmic reticulum;Nucleus
ENSG00000205923	Q6PRD7	Cytosol;Nucleus
ENSG00000206077	P0C7U3	
ENSG00000206190	O60312	Endoplasmic reticulum
ENSG00000206527	Q6Y1H2	Endoplasmic reticulum
ENSG00000206562	Q8TCB7	Cytosol;Nucleus
ENSG00000211445	P22352	
ENSG00000211448	Q92813	
ENSG00000211452	P49895	
ENSG00000211456	Q9NTJ5	Endoplasmic reticulum;Golgi apparatus
ENSG00000212907	P03901	
ENSG00000213024	P37198	Cytosol;Nucleus
ENSG00000213160	Q8NBE8	
ENSG00000213316	Q16873	Endoplasmic reticulum;Nucleus
ENSG00000213339	Q9BXR0	Cytosol
ENSG00000213366	P28161	Cytosol
ENSG00000213398	P04180	
ENSG00000213614	P06865	Lysosome
ENSG00000213619	O75489	
ENSG00000213639	P62140	Cytosol;Nucleus
ENSG00000213648	P0DMN0	Cytosol
ENSG00000213689	Q9NSU2	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000213722	O95865	Cytosol
ENSG00000213759	O75310	Endoplasmic reticulum
ENSG00000213760	O95670	Cytosol
ENSG00000213920	Q86V88	
ENSG00000213930	P07902	
ENSG00000214013	Q8TET4	
ENSG00000214160	Q92685	Endoplasmic reticulum
ENSG00000214357	A8MQ27	Cytosol
ENSG00000214435	Q9HBK9	Cytosol
ENSG00000214530	Q9Y365	Cytosol
ENSG00000214756	A8MUP2	
ENSG00000215009	P0C7M7	
ENSG00000215218	A1L167	Nucleus
ENSG00000215883	Q6IPT4	
ENSG00000218823	Q9NRJ5	
ENSG00000221968	Q9Y5Q0	Endoplasmic reticulum
ENSG00000221988	Q9UMR5	Lysosome
ENSG00000223443	Q6R6M4	Endoplasmic reticulum;Nucleus
ENSG00000223572	P12532	
ENSG00000223802	P27544	Endoplasmic reticulum
ENSG00000224586	O75715	
ENSG00000225697	Q9BXS9	Cytosol
ENSG00000226784	Q8N0Y7	
ENSG00000227140	A8MUK1	
ENSG00000227471	C9JRZ8	Cytosol
ENSG00000228253	P03928	
ENSG00000228716	P00374	Cytosol
ENSG00000228727	Q5SSQ6	
ENSG00000228856	Q0WX57	Endoplasmic reticulum;Nucleus
ENSG00000229579	Q0WX57	Endoplasmic reticulum;Nucleus
ENSG00000229894	Q14409	
ENSG00000229937	P21108	
ENSG00000230430	Q0WX57	Endoplasmic reticulum;Nucleus
ENSG00000231051	Q0WX57	Endoplasmic reticulum;Nucleus
ENSG00000231637	Q0WX57	Endoplasmic reticulum;Nucleus
ENSG00000231852	P08686	Endoplasmic reticulum
ENSG00000232264	Q0WX57	Endoplasmic reticulum;Nucleus
ENSG00000233276	P07203	Cytosol
ENSG00000234906	P02655	
ENSG00000235376	Q2QD12	
ENSG00000235780	Q0WX57	Endoplasmic reticulum;Nucleus
ENSG00000235863	O96024	Golgi apparatus
ENSG00000236334	P0DN37	
ENSG00000237172	Q6UX72	
ENSG00000237289	P12532	
ENSG00000237763	P0DUB6	
ENSG00000238205	P0DKB6	
ENSG00000239305	O00237	Endoplasmic reticulum
ENSG00000239642	A0A087WXM9	
ENSG00000239672	P15531	Cytosol;Nucleus
ENSG00000239900	P30566	
ENSG00000240038	P19961	
ENSG00000240303	Q709F0	Peroxisome;Cytosol
ENSG00000240344	Q9H2H8	
ENSG00000240583	P29972	
ENSG00000240857	Q9HBH5	
ENSG00000240891	Q0VAA5	
ENSG00000240972	P14174	Cytosol
ENSG00000241058	Q8TEA1	Cytosol
ENSG00000241119	O60656	Endoplasmic reticulum
ENSG00000241258	O75575	Cytosol;Nucleus
ENSG00000241343	P83881	Cytosol
ENSG00000241360	Q96GD0	Cytosol
ENSG00000241404	Q99944	
ENSG00000241468	P56134	
ENSG00000241635	P22309	Cytosol;Endoplasmic reticulum
ENSG00000241644	O95050	Cytosol
ENSG00000241837	P48047	
ENSG00000241878	Q9UG56	Cytosol
ENSG00000241935	Q86XE5	
ENSG00000241973	P42356	Cytosol
ENSG00000242110	Q9UHK6	Peroxisome
ENSG00000242366	Q9HAW9	Endoplasmic reticulum
ENSG00000242515	Q9HAW8	Endoplasmic reticulum
ENSG00000242612	Q9NUI1	Peroxisome
ENSG00000243056	O60516	
ENSG00000243477	Q93015	Cytosol
ENSG00000243480	P04746	
ENSG00000243678	P22392	Cytosol;Nucleus
ENSG00000243708	P0C869	Cytosol
ENSG00000243709	O75610	
ENSG00000243955	P08263	Cytosol
ENSG00000243989	Q03154	Cytosol
ENSG00000244038	P39656	Endoplasmic reticulum
ENSG00000244067	P09210	Cytosol
ENSG00000244122	Q9HAW7	Endoplasmic reticulum
ENSG00000244474	P22310	Endoplasmic reticulum
ENSG00000244486	Q96GP6	
ENSG00000247626	Q96GW9	
ENSG00000247746	Q70EK9	
ENSG00000248098	P12694	
ENSG00000248144	P00326	Cytosol
ENSG00000248933	D6RA61	
ENSG00000249853	Q8IZT8	Golgi apparatus
ENSG00000249948		
ENSG00000250305	Q9P272	
ENSG00000250565	Q96A05	
ENSG00000250741		
ENSG00000250799	Q9UF12	
ENSG00000251287	C9J202	
ENSG00000253710	Q2TAA5	Endoplasmic reticulum
ENSG00000254685	O14772	Cytosol
ENSG00000255072	Q3MUY2	Endoplasmic reticulum
ENSG00000255730		
ENSG00000255974	P11509	Endoplasmic reticulum
ENSG00000256043	P43234	Lysosome
ENSG00000256269	P08397	Cytosol
ENSG00000256525	Q9UHN1	
ENSG00000256870	Q8N695	
ENSG00000257335	O43451	
ENSG00000257365	P49356	
ENSG00000257594	Q8N4A0	Golgi apparatus
ENSG00000258429	Q9HBH1	
ENSG00000259030		
ENSG00000259075		
ENSG00000259431	Q9BU02	Cytosol
ENSG00000259916		
ENSG00000261052	P0DMM9	Cytosol
ENSG00000263353	Q9Y536	
ENSG00000263464	A0A0B4J2A2	
ENSG00000265203	P10745	
ENSG00000265491	Q9Y4L5	Cytosol;Lysosome
ENSG00000266200	P54317	
ENSG00000268104	Q9UN76	
ENSG00000268606	P43356	Nucleus
ENSG00000271567	A0A075B759	
ENSG00000272325	O95989	Cytosol
ENSG00000272333	Q9UMN6	Nucleus
ENSG00000272916		
ENSG00000273820	A6NNY8	Cytosol;Nucleus
ENSG00000273841	Q16594	Nucleus
ENSG00000274252	B5MD39	
ENSG00000274588	Q5KSL6	
ENSG00000275183		
ENSG00000276043	Q96T88	Nucleus
ENSG00000276231	Q5UE93	Cytosol
ENSG00000276293	P78356	Cytosol;Endoplasmic reticulum;Nucleus
ENSG00000276380		
ENSG00000276747	Q6TGC4	Cytosol;Nucleus
ENSG00000277161	Q7Z7B1	Endoplasmic reticulum
ENSG00000277494	Q8IV16	
ENSG00000277893	P31213	Endoplasmic reticulum
ENSG00000278540	Q13085	Cytosol
ENSG00000278619	Q6IN84	
ENSG00000282301		
ENSG00000284844		
ENSG00000285043		
ENSG00000285269		
ENSG00000288702	P35503	Endoplasmic reticulum
ENSG00000288705	P35504	Endoplasmic reticulum
